UniqueCount	AmbigCount
2	17
1	2
356	2054
23	0
1	96
0	334
0	75
0	4023
0	1286
1	2
1	3744
0	3577
265	2186
0	1060
0	346
48	193
1	1
26	150
0	34
30	290
47	1293
21	150
109	410
0	49
21	5
5	7
2	1459
0	163
1	0
699	673
330	0
72	0
1	0
7	1435
1	2582
407	3859
30	3553
4	2252
0	860
1	1327
1	1
0	2469
39	745
143	322
54	891
1	164
1	126
0	112
53	155
1	487
1	434
0	267
0	184
2	0
0	611
0	629
33	577
73	224
0	183
4	138
184	170
2	173
19	240
140	65
0	197
2	187
169	33
198	32
7	117
60	65
0	313
18	56
1	1212
1	642
0	780
0	536
0	376
136	2038
0	2045
9	568
0	1409
121	2037
901	2603
9	185
2	194
0	4
0	503
1	49
0	189
9	695
0	155
64	13
1	0
1146	282
0	91
32	0
3	0
24	6
1	1
8	324
8	943
2	2468
0	441
285	0
1	0
0	6755
0	6416
0	8108
143	4791
308	4991
3	837
0	769
0	5246
0	4552
0	663
4	4013
277	6097
1	7180
37	4903
1	303
829	600
3909	4874
0	10
1	10
45	140
77	0
1	0
334	1666
0	4080
5	4427
2	3733
561	4583
0	1580
7	4399
18	604
64	5265
2	5326
0	2
54	159
0	1
625	425
6	2
36	85
13	4731
1	980
2	5938
920	299
0	5050
4	43
0	5471
56	909
9	1398
78	312
1	510
1	364
37	245
9	1685
2	2576
0	191
0	585
33	1676
10	400
0	1313
36	398
5	160
9	917
0	396
499	60
1119	923
0	923
1	1
17	1
6	0
1	1
1	1
1	0
424	0
1	217
396	217
53	405
12	51
117	355
0	1074
23	367
123	7340
12	5112
31	7223
24	5772
4	6387
101	6524
0	6002
0	4920
24	5998
0	5826
24	3803
6	1
1	1690
1	198
18	565
42	3871
35	2040
2894	4431
326	0
5	721
1	1
622	834
0	753
1	88
5	204
1	0
2	472
53	526
18	482
42	65
98	216
8	780
2	358
51	780
20	0
27	131
0	102
1	107
0	76
69	531
107	476
0	380
289	0
161	0
0	7507
1	7589
0	7552
0	7634
1320	902
52	319
0	58
1	1
6	78
2719	3127
1	4
0	76
14	76
0	75
1	0
8	43
0	37
1	0
1	0
68	2682
333	2802
0	3040
0	3032
1	2154
0	2904
0	2657
1	356
1	1908
0	1106
0	860
0	908
45	472
0	154
14	174
9	218
2	88
865	221
19	6
9	0
1	0
33	0
1	0
1	0
1	0
20	3
0	3
0	770
1	770
562	724
119	299
23	1
48	5
443	1584
210	2521
222	917
46	1328
8	5
0	5
1	0
0	2245
43	2775
2	2492
0	2758
1	1085
38	1001
0	1030
68	406
10	473
9117	0
23	43
405	37
1	35
46	11
0	10
287	0
3	746
0	844
0	640
18	419
0	515
0	304
8	366
94	47
0	427
11	275
127	94
0	82
1	139
3	188
141	204
25	0
42	150
741	66
233	112
10	0
1	0
558	0
0	1007
0	814
88	1063
1	1085
14	48
1	931
1	0
25	200
1	1996
0	1677
82	1067
0	1189
16	1
50	251
62	357
9	0
152	536
151	446
952	602
14	324
1	0
1	0
16	256
4	24
0	97
0	74
745	274
16	2234
0	3802
0	3456
4	2614
22	1468
1	3490
0	737
11	3010
13	2616
24	2006
1	1564
333	2609
0	3788
0	2609
8	2364
1	2511
0	3018
3	881
0	340
1	262
14	2117
0	387
5	640
0	497
37	327
1	248
0	877
34	73
0	148
0	911
1	306
0	462
33	985
104	940
0	781
12	69
1	23
0	393
0	835
14	794
0	1590
135	1230
1	345
482	1145
2	884
1	111
1	282
54	238
0	68
10	84
0	5
27	0
28	84
13	913
1753	842
478	0
7	8409
1	8812
681	8104
4	732
0	446
994	625
4	159
1054	890
0	1
0	4967
68	7005
0	8034
177	5065
4	7818
5	1496
0	1228
187	1871
1	106
25	0
0	976
236	922
68	919
29	961
60	33
22	29
3	0
0	4501
2	4408
1	4380
2199	4332
0	4523
0	4399
140	4423
0	3619
0	3560
0	1919
1	1375
3	126
3	68
14	78
9	42
0	82
1	2
1	18
16	0
1	1
7	7313
33	6139
80	6168
0	7340
38	625
0	427
5	6334
801	7277
21	2839
0	13
0	4
39	8
1	0
39	20
142	4
0	11
20	0
0	1121
104	1348
19	1598
2	1049
182	625
284	133
1	0
185	130
570	159
1	93
1	264
1	10
0	53
74	63
1	0
200	30
1	0
0	14
40	12211
13862	12671
18	794
602	8143
17	5121
1	1
0	1
12	1181
34	1725
0	1144
0	1144
143	126
0	40
552	105
33	511
34	511
1	1
1	58
158	55
0	3
579	2
1	365
1569	365
323	0
1313	0
785	0
1	1
31	13431
1	13854
0	13016
0	14032
2016	14214
1	11791
0	12817
0	22
0	409
16	11691
4	604
7	10041
0	36
86	24
50	1997
0	13380
2	7625
0	1187
1	11905
3	10477
272	118
51	236
64	10162
1	1032
128	197
0	520
1	1207
0	3188
0	2989
4	2904
1	814
158	811
0	2182
1	187
0	976
659	2135
24	1630
0	764
115	1121
1	1046
34	142
1	97
442	12714
1	11499
86	10204
1	11233
3	11628
136	9987
1	9968
4	9987
0	1890
1	20
108	1820
0	5863
59	5220
1	1862
21	1088
62	20
14	0
0	1724
138	6394
0	5974
1	1580
0	4996
0	5509
0	3886
0	4737
0	5474
0	5681
0	4910
32	204
101	892
0	222
0	207
11	486
0	60
12	227
59	374
3	484
88	265
1	7
1	2
2	0
564	5142
11	0
137	1373
11	0
0	36
0	1971
0	2035
226	3838
0	333
0	1823
0	935
4	447
1	438
0	366
4	241
0	1
3	158
0	66
1	35
26	146
14	18
3	26
33	126
35	119
5	69
4	66
1	24
43	0
14	322
0	316
0	344
460	85
35	133
0	35
1	38
0	8
85	543
78	567
300	0
2	16
0	16
123	47
26	35
14	1125
0	656
35	20
0	212
2	482
83	19
0	391
8	1637
0	81
0	78
121	96
1226	1449
1	1371
1	169
1	296
1	24
510	196
21	196
3	4192
0	8280
0	4226
111	6463
39	9050
277	5363
1	965
38	5674
304	5769
143	4823
153	0
3	8077
1	2256
3	815
23	5631
0	4328
0	5310
0	700
394	5085
1	2
589	2
1	2330
30	199
309	120
46	25
185	25
1	0
4	2143
57	42
0	1635
0	82
12	168
7	85
1	159
0	133
78	548
1	227
0	97
131	77
33	68
17	310
1	4
134	2074
179	469
42	1339
1	1381
165	60
14709	1
177	0
10	0
0	1877
20	1937
47	5619
156	4948
0	2154
145	7095
0	546
0	2297
8	2811
1739	2811
0	1752
10	2431
0	9003
70	59
1	0
1	0
12349	41
520	0
1	0
2	41
0	1
1	1
0	205
51	289
0	220
8	10
56	269
243	264
550	455
59	535
15	85
0	2
55	83
4	0
266	1
0	1
85	0
3	2225
0	54
2	2757
31	445
98	0
425	2397
0	397
862	863
398	887
114	1229
27	789
3	846
3	742
1	245
3	120
260	44
180	52
57	36
1	2
8	7409
52	7695
0	7821
25	7348
15	6231
1	5173
772	5558
1	0
1	0
0	3214
9	1908
0	1992
0	3201
3	46
188	81
1	1
542	1
318	499
388	2349
93	265
1	0
1	37
3260	0
5	35
0	35
463	2275
40	218
1	720
1	671
376	2156
193	200
3	712
0	833
116	992
0	830
0	753
0	1692
17	647
578	1426
0	1163
23	807
6	1413
0	935
0	302
0	85
52	0
5	19
70	4
197	0
9	575
0	1013
2	9016
0	8020
0	8285
314	9366
13	2041
0	8563
0	1204
0	535
0	349
0	143
20	7749
0	64
1	7342
10	905
3	3059
1	1296
226	2184
15	27
68	27
0	92
32	359
1	0
72	11
287	76
0	65
173	0
543	0
157	0
126	0
7	0
860	1969
115	1969
7	0
15	4766
213	2609
69	414
45	3437
82	5797
0	554
401	5553
62	16
216	287
48	138
0	943
36	89
5	1090
200	1144
0	905
13	842
74	0
0	832
0	126
1	0
21	0
2	0
198	0
1644	0
227	0
1	0
0	6127
0	6127
515	6127
0	862
3042	777
0	1268
984	4564
1	0
807	3013
0	1085
1	63
0	2810
2	234
1752	1747
734	498
1	0
5	0
285	1018
0	1018
1	2890
1	2913
3	537
165	2214
49	1005
1	155
0	2
87	1994
94	2017
31	168
0	12269
4	11117
0	4384
0	11453
0	12169
0	3305
0	4021
0	3696
0	5139
0	11581
7	2119
1487	206
0	3908
369	3866
1	0
7	0
1	3349
0	1482
0	13198
0	12248
0	15266
3	20574
110	9656
10	681
0	16882
1	555
0	15581
1	16442
14	16244
2	16081
0	7554
0	10659
0	12994
119	12191
0	8802
469	14493
1	10323
109	1436
2	3715
1	930
6	10555
0	10072
4	462
0	10362
3	294
0	1
67	130
125	317
1	317
21	438
21	172
40	407
1	2
208	27
3	27
21	1
1	0
1	0
3	156
45	47
0	19
34	22
51	51
6	13
0	31
1	0
1	17
13	14
0	13
0	369
0	4367
0	4344
5	3747
3	4174
418	4470
33	4354
0	4293
0	4152
417	458
573	273
0	387
70	220
142	211
0	217
29	260
5	18
592	528
9	376
112	196
50	15
212	3
4	281
9	529
0	450
33	658
244	628
1	0
1	0
1	0
201	0
1	0
14	2833
180	2785
0	2863
0	4630
0	1429
8	3209
2	3181
0	4475
1	1359
89	898
0	2621
0	1469
0	1903
2	0
465	0
0	105
129	173
0	107
12	51
0	100
2	204
1	5
24	43
133	417
1335	417
120	73
2	112
4	112
229	0
87	0
1494	0
1	0
93	120
1	121
0	104
1331	0
1	0
1	0
385	0
231	0
1	0
172	0
88	3755
1062	3843
0	4842
23	6002
725	6391
23	4340
26	38
11	37
325	28
0	4295
11	329
1	2991
12	3341
0	30472
0	28943
21	30474
11	118
87	646
58	137
1	16
54	46
15	2224
8	196
11	1752
2	26909
22	3346
11	101
0	13163
0	28459
0	756
1212	19935
0	30609
0	1285
323	36559
70	2969
1	3259
0	11022
0	31056
327	362
429	955
417	26565
11	591
55	15
91	28935
0	30405
109	9704
0	11678
92	1784
14	0
0	26353
56	192
1	11427
0	20897
1	8
52	0
42	2111
900	26268
0	25810
0	27365
0	435
0	555
5	614
0	588
0	397
1	0
1	17
654	218
10	268
29	1061
0	148
96	171
466	880
30	868
365	0
3457	946
2760	4889
0	1065
217	375
88	3340
1	17
38	0
0	564
117	216
1	12
0	1
0	13
3	13
161	260
0	142
0	260
1	0
2	0
11	3005
95	2743
8	2742
21	2743
99	2659
0	2659
0	3107
8	3237
0	1560
18	1
0	130
38	31
2	33
618	23
1	94
0	41
137	94
0	6094
5099	5689
35	269
4	304
0	811
463	588
32	805
0	1739
0	1904
17	679
0	12
0	908
16	74
0	591
47	558
16	454
3	12
1	0
3	0
14	8084
0	8080
16	9312
0	9470
2	10148
0	9072
0	10598
686	8436
360	7230
243	4207
48	7481
0	4955
0	3967
0	6207
2	4269
1	0
6	2212
0	2513
2	1924
0	1873
14	155
466	11892
0	12559
0	12559
0	12560
160	12755
0	13597
29	5735
0	8994
1	10085
0	10287
3	10287
235	8828
0	0
4	246
31	198
0	63
1	27
71	75
1	0
43	0
302	1557
0	1042
0	952
0	75
0	2412
42	1689
50	1626
0	54
336	849
1	291
41	617
0	140
0	3393
323	4281
0	1063
127	1426
69	840
0	415
1	3
2	3
93	326
1	0
8	286
4	1831
25	231
8	170
39	101
36	5
546	2894
66	1701
141	4710
38	2956
32	459
99	1310
1	419
5	41
94	1144
396	947
3428	472
1432	95
33	76
159	357
1	94
7	330
1	49
716	1
312	0
0	405
6486	3474
20	297
5	478
1	39
324	398
1	61
90	73
54	319
1	249
0	297
1	35
261	49
1	3166
0	1867
0	537
20	0
163	0
53	0
1	0
15	0
3	0
175	0
4315	0
260	0
85	0
1	3
7	3
1	0
1	0
0	1397
0	7105
11	7206
0	7090
189	7308
1311	436
142	275
938	101
113	208
5	4
0	965
143	173
87	103
2412	1105
0	1105
1	2
1	53
20	0
1	1259
101	171
2	3179
1372	2951
0	3164
670	262
1	2840
6	1731
7	169
11	1575
53	0
114	0
31	55
188	55
71	35
199	185
1	135
29	142
1	81
636	0
155	0
1521	0
0	471
69	471
882	380
1	0
1	0
62	0
293	2811
1	2811
0	1891
0	539
1	0
12	7990
5	8008
0	3605
91	66
3	5473
9	2506
45	161
1652	7357
