UniqueCount	AmbigCount
3	0
1	1
1192	319
5	0
89	0
17	7
0	7
154	83
0	83
10	0
7	40
0	40
60	3173
0	3173
8	91
56	362
2	38
14	119
0	20
9	70
35	304
50	595
1	33
1	24
3	13
14	13
17	136
422	194
1	0
542	202
28	0
1	5
15	1
0	319
48	1077
77	1268
0	1012
2	1007
0	796
1	214
8	0
24	54
0	8
1	0
1	8
4	6
0	6
7	40
0	45
1	394
16	19
0	8
0	214
304	0
1163	2945
7	1938
45	1115
29	1074
4	14
17	16
1	0
10	132
0	22
9	40
0	247
51	1
50	25
2	1
2	0
256	74
0	354
1614	0
168	306
373	727
1	216
1	0
0	418
1	765
0	765
395	368
23	617
125	796
108	1400
24	53
1	0
208	38
21	721
5	0
36	218
16	378
1	45
1	0
30	0
125	10
0	10
203	0
45	0
20	0
1205	0
158	354
182	254
2379	1236
566	61
249	0
1575	5
0	9401
1	7494
0	11180
3	4320
24	9682
865	2737
44	2193
28	9005
3	9462
572	2303
165	10020
447	9113
58	10931
30	4428
22	500
397	980
10	3406
0	660
653	660
1	675
40	0
2	0
65	1102
0	3183
0	3453
0	2726
0	2979
0	2460
18	2636
749	1618
154	5914
64	5792
0	218
1	58
0	2
830	56
180	39
29	46
0	5592
178	1736
65	7788
503	633
95	6363
0	144
0	6685
12	1476
64	2960
205	705
116	1052
1	668
1	244
120	3545
154	4400
13	462
0	877
5	2834
2	781
0	2524
283	781
0	58
0	1216
0	681
140	46
1	81
78	81
1	0
636	80
21	17
38	58
30	4
2539	1
43	0
1725	54
69	54
1206	836
178	607
35	229
83	314
1	100
2	8477
237	6820
6	8420
2	7652
3	7429
0	7992
0	6999
115	6262
0	6965
168	8320
6	5669
13	1
233	3647
443	412
4	1327
180	2025
82	1113
334	2002
2	0
0	299
143	0
79	91
0	92
52	27
0	24
4	0
146	4005
546	3966
153	3364
7	200
1	625
8	571
3	491
0	571
1916	0
8	693
75	563
277	636
6	491
7	51
1	38
0	34
102	0
221	0
0	2208
0	2168
0	2118
0	2078
850	533
4	66
5	20
12	0
48	40
81	537
241	204
819	1806
11	1806
0	1794
13	0
9	706
73	1048
1	0
1261	0
351	5740
46	4463
0	6056
0	4827
706	4240
0	5970
44	5731
35	1215
0	4289
1	1355
0	1226
0	1591
0	509
18	169
1	195
55	727
53	653
325	126
27	2
165	0
1070	0
41	0
7	0
3	0
168	0
3040	356
12	356
52	2863
1	2863
1	1501
322	565
5	0
77	19
165	372
4	399
2	53
4	184
317	303
85	285
227	144
0	1823
0	1702
5	1445
0	1702
1	433
6	282
0	1338
6	345
89	663
1	0
1	7
40	6
5	8
2	16
74	16
92	0
0	1549
0	1688
1	1556
243	1471
5	1248
3	1448
11	1295
2	135
0	1134
4	1186
45	86
99	428
1	310
3	189
1	99
14	0
388	889
1	36
64	50
84	0
19	0
1	0
0	414
0	427
30	491
0	496
169	109
1	400
70	0
98	155
724	2546
0	2090
7	1283
0	1303
1	0
1	113
1	221
182	0
17	308
0	162
6	416
3	74
1	0
1	0
257	1650
672	798
1	313
0	1234
29	468
4	9505
3	13380
1	13171
1	10069
737	5968
0	12941
1	3008
225	12462
36	10080
56	8288
521	6927
45	9116
0	13293
8	10054
12	8978
3	9493
0	11561
1	3181
56	1642
1	1113
2	7179
0	1616
83	2895
46	2601
46	1579
1	1470
1	2276
30	148
108	615
111	3481
1	1361
1	1576
21	2492
15	2114
41	2133
699	1520
2	594
0	1206
0	1561
0	2031
465	1922
8	724
0	941
1	743
129	608
